1: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
2: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
3: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
4: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
5: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
6: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
7: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
8: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
9: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
10: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
11: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
12: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
13: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
14: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
15: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
16: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
17: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
18: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
19: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
20: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
21: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
22: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
23: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
24: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
25: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
26: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
27: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
28: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
29: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
30: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
31: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
32: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
33: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
34: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
35: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
36: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
37: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
38: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
39: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
40: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
41: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
42: Incorrect question type. Shoule be one of the following: [MC, MA, FIB, TF]
